Vernaculaire,Scientifique,Coches
Grèbe jougris,Podiceps grisegena,652
Puffin des Baléares,Puffinus mauretanicus,649
Bernache nonnette,Branta leucopsis,648
Bécassine sourde,Lymnocryptes minimus,643
Corneille mantelée,Corvus cornix,642
Faucon crécerellette,Falco naumanni,640
Cygne noir,Cygnus atratus (féral en Fr),639
Monticole bleu,Monticola solitarius,636
Talève sultane,Porphyrio porphyrio,634
Canard mandarin,Aix galericulata (féral),631
Grand Labbe,Stercorarius skua,631
Moineau soulcie,Petronia petronia,630
Labbe parasite,Stercorarius parasiticus,624
Harelde boréale,Clangula hyemalis,623
Fauvette passerinette,Curruca iberiae,620
Rousserolle verderolle,Acrocephalus palustris,617
Bécasseau de Temminck,Calidris temminckii,615
Marouette ponctuée,Porzana porzana,613
Bruant ortolan,Emberiza hortulana,609
Faucon kobez,Falco vespertinus,608
Monticole de roche,Monticola saxatilis,605
Tadorne casarca,Tadorna ferruginea (féral en Fr),599
Puffin des Anglais,Puffinus puffinus,597
Coucou geai,Clamator glandarius,595
Pie-grièche méridionale,Lanius meridionalis,590
Aigle de Bonelli,Aquila fasciata,587
Macareux moine,Fratercula arctica,586
Pouillot à grands sourcils,Phylloscopus inornatus,583
Locustelle luscinioïde,Locustella luscinioides,577
Sizerin cabaret,Acanthis cabaret,573
Goéland pontique,Larus cachinnans,572
Niverolle alpine,Montifringilla nivalis,562
Alouette calandrelle,Calandrella brachydactyla,552
Martinet pâle,Apus pallidus,542
Pluvier guignard,Charadrius morinellus,538
Phalarope à bec large,Phalaropus fulicarius,537
Glaréole à collier,Glareola pratincola,535
Puffin fuligineux,Ardenna griseus,528
Hirondelle rousseline,Cecropis daurica,523
Chevalier stagnatile,Tringa stagnatilis,518
Guifette leucoptère,Chlidonias leucopterus,512
Etourneau unicolore,Sturnus unicolor,508
Fauvette à lunettes,Curruca conspicillata,505
Pipit de Richard,Anthus richardi,498
Phalarope à bec étroit,Phalaropus lobatus,491
Oie (des moissons) de la toundra,Anser serrirostris,491
Océanite tempête,Hydrobates pelagicus,490
Traquet oreillard,Oenanthe hispanica,480
Puffin yelkouan,Puffinus yelkouan,478
Alouette calandre,Melanocorypha calandra,474
Labbe pomarin,Stercorarius pomarinus,467
Fuligule à bec cerclé,Aythya collaris,465
Puffin de Scopoli,Calonectris diomedea,458
Ganga cata,Pterocles alchata,451
Bruant lapon,Calcarius lapponicus,450
