ID_ODF,MAILLE,ID_FAUNE_FRANCE
44262,E035N693,457
44263,E035N694,458
44264,E035N695,459
44265,E035N696,460
44271,E036N621,461
44272,E036N622,462
44273,E036N623,463
44274,E036N624,464
44275,E036N625,465
44276,E036N626,466
44277,E036N627,467
44278,E036N628,468
44279,E036N629,469
44280,E036N630,470
44281,E036N631,471
44282,E036N632,472
44283,E036N633,473
44284,E036N634,474
44285,E036N635,475
44286,E036N636,476
44287,E036N637,477
44288,E036N638,478
44289,E036N639,479
44290,E036N640,480
44291,E036N641,481
44292,E036N642,482
44293,E036N643,483
44294,E036N644,484
44303,E036N653,485
44304,E036N654,486
44305,E036N655,487
44306,E036N656,488
44307,E036N657,489
44308,E036N658,490
44309,E036N659,491
44310,E036N660,492
44311,E036N661,493
44312,E036N662,494
44313,E036N663,495
44314,E036N664,496
44315,E036N665,497
44316,E036N666,498
44317,E036N667,499
44318,E036N668,500
44319,E036N669,501
44320,E036N670,502
44321,E036N671,503
44322,E036N672,504
44323,E036N673,505
44324,E036N674,506
44325,E036N675,507
44326,E036N676,508
44327,E036N677,509
44328,E036N678,510
44329,E036N679,511
44330,E036N680,512
44331,E036N681,513
44332,E036N682,514
44333,E036N683,515
44334,E036N684,516
44335,E036N685,517
44336,E036N686,518
44337,E036N687,519
44338,E036N688,520
44339,E036N689,521
44340,E036N690,522
44341,E036N691,523
44342,E036N692,524
44343,E036N693,525
44344,E036N694,526
44345,E036N695,527
44346,E036N696,528
44352,E037N621,529
44353,E037N622,530
44354,E037N623,531
44355,E037N624,532
44356,E037N625,533
44357,E037N626,534
44358,E037N627,535
44359,E037N628,536
44360,E037N629,537
44361,E037N630,538
44362,E037N631,539
44363,E037N632,540
44364,E037N633,541
44365,E037N634,542
44366,E037N635,543
44367,E037N636,544
44368,E037N637,545
44369,E037N638,546
44370,E037N639,547
44371,E037N640,548
44372,E037N641,549
44373,E037N642,550
44374,E037N643,551
44375,E037N644,552
44376,E037N645,553
44377,E037N646,554
44378,E037N647,555
44379,E037N648,556
44380,E037N649,557
44381,E037N650,558
44382,E037N651,559
44383,E037N652,560
44384,E037N653,561
44385,E037N654,562
44386,E037N655,563
44387,E037N656,564
44388,E037N657,565
44389,E037N658,566
44390,E037N659,567
44391,E037N660,568
44392,E037N661,569
44393,E037N662,570
44394,E037N663,571
44395,E037N664,572
44396,E037N665,573
44397,E037N666,574
44398,E037N667,575
44399,E037N668,576
44400,E037N669,577
44401,E037N670,578
44402,E037N671,579
44403,E037N672,580
44404,E037N673,581
44405,E037N674,582
44406,E037N675,583
44407,E037N676,584
44408,E037N677,585
44409,E037N678,586
44410,E037N679,587
44411,E037N680,588
44412,E037N681,589
44413,E037N682,590
44414,E037N683,591
44415,E037N684,592
44416,E037N685,593
44417,E037N686,594
44418,E037N687,595
44419,E037N688,596
44420,E037N689,597
44421,E037N690,598
44422,E037N691,599
44423,E037N692,600
44424,E037N693,601
44425,E037N694,602
44426,E037N695,603
44427,E037N696,604
44433,E038N621,605
44434,E038N622,606
44435,E038N623,607
44436,E038N624,608
44437,E038N625,609
44438,E038N626,610
44439,E038N627,611
44440,E038N628,612
44441,E038N629,613
44442,E038N630,614
44443,E038N631,615
44444,E038N632,616
44445,E038N633,617
44446,E038N634,618
44447,E038N635,619
44448,E038N636,620
44449,E038N637,621
44450,E038N638,622
44451,E038N639,623
44452,E038N640,624
44453,E038N641,625
44454,E038N642,626
44455,E038N643,627
44456,E038N644,628
44457,E038N645,629
44458,E038N646,630
44459,E038N647,631
44460,E038N648,632
44461,E038N649,633
44462,E038N650,634
44463,E038N651,635
44464,E038N652,636
44465,E038N653,637
44466,E038N654,638
44467,E038N655,639
44468,E038N656,640
44469,E038N657,641
44470,E038N658,642
44471,E038N659,643
44472,E038N660,644
44473,E038N661,645
44474,E038N662,646
44475,E038N663,647
44476,E038N664,648
44477,E038N665,649
44478,E038N666,650
44479,E038N667,651
44480,E038N668,652
44481,E038N669,653
44482,E038N670,654
44483,E038N671,655
44484,E038N672,656
44485,E038N673,657
44486,E038N674,658
44487,E038N675,659
44488,E038N676,660
44489,E038N677,661
44490,E038N678,662
44491,E038N679,663
44492,E038N680,664
44493,E038N681,665
44494,E038N682,666
44495,E038N683,667
44496,E038N684,668
44497,E038N685,669
44498,E038N686,670
44499,E038N687,671
44500,E038N688,672
44501,E038N689,673
44502,E038N690,674
44503,E038N691,675
44504,E038N692,676
44505,E038N693,677
44506,E038N694,678
44507,E038N695,679
44508,E038N696,680
44514,E039N620,681
44515,E039N621,682
44516,E039N622,683
44517,E039N623,684
44518,E039N624,685
44519,E039N625,686
44520,E039N626,687
44521,E039N627,688
44522,E039N628,689
44523,E039N629,690
44524,E039N630,691
44525,E039N631,692
44526,E039N632,693
44527,E039N633,694
44528,E039N634,695
44529,E039N635,696
44530,E039N636,697
44531,E039N637,698
44532,E039N638,699
44533,E039N639,700
44534,E039N640,701
44535,E039N641,702
44536,E039N642,703
44537,E039N643,704
44538,E039N644,705
44539,E039N645,706
44540,E039N646,707
44541,E039N647,708
44542,E039N648,709
44543,E039N649,710
44544,E039N650,711
44545,E039N651,712
44546,E039N652,713
44547,E039N653,714
44548,E039N654,715
44549,E039N655,716
44550,E039N656,717
44551,E039N657,718
44552,E039N658,719
44553,E039N659,720
44554,E039N660,721
44555,E039N661,722
44556,E039N662,723
44557,E039N663,724
44558,E039N664,725
44559,E039N665,726
44560,E039N666,727
44561,E039N667,728
44562,E039N668,729
44563,E039N669,730
44564,E039N670,731
44565,E039N671,732
44566,E039N672,733
44567,E039N673,734
44568,E039N674,735
44569,E039N675,736
44570,E039N676,737
44571,E039N677,738
44572,E039N678,739
44573,E039N679,740
44574,E039N680,741
44575,E039N681,742
44576,E039N682,743
44577,E039N683,744
44578,E039N684,745
44579,E039N685,746
44580,E039N686,747
44581,E039N687,748
44582,E039N688,749
44583,E039N689,750
44584,E039N690,751
44585,E039N691,752
44586,E039N692,753
44587,E039N693,754
44588,E039N694,755
44589,E039N695,756
44590,E039N696,757
44596,E040N619,758
44597,E040N620,759
44598,E040N621,760
44599,E040N622,761
44600,E040N623,762
44601,E040N624,763
44602,E040N625,764
44603,E040N626,765
44604,E040N627,766
44605,E040N628,767
44606,E040N629,768
44607,E040N630,769
44608,E040N631,770
44609,E040N632,771
44610,E040N633,772
44611,E040N634,773
44612,E040N635,774
44613,E040N636,775
44614,E040N637,776
44615,E040N638,777
44616,E040N639,778
44617,E040N640,779
44618,E040N641,780
44619,E040N642,781
44620,E040N643,782
44621,E040N644,783
44622,E040N645,784
44623,E040N646,785
44624,E040N647,786
44625,E040N648,787
44626,E040N649,788
44627,E040N650,789
44628,E040N651,790
44629,E040N652,791
44630,E040N653,792
44631,E040N654,793
44632,E040N655,794
44633,E040N656,795
44634,E040N657,796
44635,E040N658,797
44636,E040N659,798
44637,E040N660,799
44638,E040N661,800
44639,E040N662,801
44640,E040N663,802
44641,E040N664,803
44642,E040N665,804
44643,E040N666,805
44644,E040N667,806
44645,E040N668,807
44646,E040N669,808
44647,E040N670,809
44648,E040N671,810
44649,E040N672,811
44650,E040N673,812
44651,E040N674,813
44652,E040N675,814
44653,E040N676,815
44654,E040N677,816
44655,E040N678,817
44656,E040N679,818
44657,E040N680,819
44658,E040N681,820
44659,E040N682,821
44660,E040N683,822
44661,E040N684,823
44662,E040N685,824
44663,E040N686,825
44664,E040N687,826
44665,E040N688,827
44666,E040N689,828
44667,E040N690,829
44668,E040N691,830
44669,E040N692,831
44679,E041N619,832
44680,E041N620,833
44681,E041N621,834
44682,E041N622,835
44683,E041N623,836
44684,E041N624,837
44685,E041N625,838
44686,E041N626,839
44687,E041N627,840
44688,E041N628,841
44689,E041N629,842
44690,E041N630,843
44691,E041N631,844
44692,E041N632,845
44693,E041N633,846
44694,E041N634,847
44695,E041N635,848
44696,E041N636,849
44697,E041N637,850
44698,E041N638,851
44699,E041N639,852
44700,E041N640,853
44701,E041N641,854
44702,E041N642,855
44703,E041N643,856
44704,E041N644,857
44705,E041N645,858
44706,E041N646,859
44707,E041N647,860
44708,E041N648,861
44709,E041N649,862
44710,E041N650,863
44711,E041N651,864
44712,E041N652,865
44713,E041N653,866
44714,E041N654,867
44715,E041N655,868
44716,E041N656,869
44717,E041N657,870
44718,E041N658,871
44719,E041N659,872
44720,E041N660,873
44721,E041N661,874
44722,E041N662,875
44723,E041N663,876
44724,E041N664,877
44725,E041N665,878
44726,E041N666,879
44727,E041N667,880
44728,E041N668,881
44729,E041N669,882
44730,E041N670,883
44731,E041N671,884
44732,E041N672,885
44733,E041N673,886
44734,E041N674,887
44735,E041N675,888
44736,E041N676,889
44737,E041N677,890
44738,E041N678,891
44739,E041N679,892
44740,E041N680,893
44741,E041N681,894
44742,E041N682,895
44743,E041N683,896
44744,E041N684,897
44745,E041N685,898
44746,E041N686,899
44747,E041N687,900
44748,E041N688,901
44749,E041N689,902
44750,E041N690,903
44751,E041N691,904
44752,E041N692,905
44762,E042N619,906
44763,E042N620,907
44764,E042N621,908
44765,E042N622,909
44766,E042N623,910
44767,E042N624,911
44768,E042N625,912
44769,E042N626,913
44770,E042N627,914
44771,E042N628,915
44772,E042N629,916
44773,E042N630,917
44774,E042N631,918
44775,E042N632,919
44776,E042N633,920
44777,E042N634,921
44778,E042N635,922
44779,E042N636,923
44780,E042N637,924
44781,E042N638,925
44782,E042N639,926
44783,E042N640,927
44784,E042N641,928
44785,E042N642,929
44786,E042N643,930
44787,E042N644,931
44788,E042N645,932
44789,E042N646,933
44790,E042N647,934
44791,E042N648,935
44792,E042N649,936
44793,E042N650,937
44794,E042N651,938
44795,E042N652,939
44796,E042N653,940
44797,E042N654,941
44798,E042N655,942
44799,E042N656,943
44800,E042N657,944
44801,E042N658,945
44802,E042N659,946
44803,E042N660,947
44804,E042N661,948
44805,E042N662,949
44806,E042N663,950
44807,E042N664,951
44808,E042N665,952
44809,E042N666,953
44810,E042N667,954
44811,E042N668,955
44812,E042N669,956
44813,E042N670,957
44814,E042N671,958
44815,E042N672,959
44816,E042N673,960
44817,E042N674,961
44818,E042N675,962
44819,E042N676,963
44820,E042N677,964
44821,E042N678,965
44822,E042N679,966
44823,E042N680,967
44824,E042N681,968
44825,E042N682,969
44826,E042N683,970
44827,E042N684,971
44828,E042N685,972
44829,E042N686,973
44830,E042N687,974
44831,E042N688,975
44832,E042N689,976
44833,E042N690,977
44834,E042N691,978
44835,E042N692,979
44845,E043N619,980
44846,E043N620,981
44847,E043N621,982
44848,E043N622,983
44849,E043N623,984
44850,E043N624,985
44851,E043N625,986
44852,E043N626,987
44853,E043N627,988
44854,E043N628,989
44855,E043N629,990
44856,E043N630,991
44857,E043N631,992
44858,E043N632,993
44859,E043N633,994
44860,E043N634,995
44861,E043N635,996
44862,E043N636,997
44863,E043N637,998
44864,E043N638,999
44865,E043N639,1000
44866,E043N640,1001
44867,E043N641,1002
44868,E043N642,1003
44869,E043N643,1004
44870,E043N644,1005
44871,E043N645,1006
44872,E043N646,1007
44873,E043N647,1008
44874,E043N648,1009
44875,E043N649,1010
44876,E043N650,1011
44877,E043N651,1012
44878,E043N652,1013
44879,E043N653,1014
44880,E043N654,1015
44881,E043N655,1016
